appid,en_name,zh_name,ja_name,match_method
1100600,"Football Manager 2020","足球经理2020","",exact
1118200,"People Playground","","","none"
1118310,"RetroArch","","","none"
1127400,"Mindustry","","","none"
1147690,"NGU IDLE","","","none"
1161490,"MotoGP™20","","","none"
1172310,"Mona Lisa: Beyond The Glass","","","none"
1172470,"Apex Legends™","Apex英雄","",exact
1190000,"Car Mechanic Simulator 2021","汽车修理工模拟2021","",exact
1204050,"Pixel Studio - pixel art editor","","","none"
1210320,"Potion Craft: Alchemist Simulator","药剂工艺：炼金术士模拟器","",exact
1213210,"Command & Conquer™ Remastered Collection","命令与征服 高清重制合集","",exact
1222140,"Detroit: Become Human","底特律：化身为人","",exact
1237970,"Titanfall® 2","泰坦天降2","",exact
1244800,"Terraformers","焕然异星","",exact
1245620,"ELDEN RING","艾尔登法环","",exact
1263850,"Football Manager 2021","足球经理2021","",exact
1283970,"YoloMouse - Game Cursor Changer","","","none"
1286830,"STAR WARS™: The Old Republic™","星球大战：旧共和国","",exact
1292940,"Cube Escape Collection","逃脱方块","",fuzzy (cube escape)
1326470,"Sons Of The Forest","森林之子","",exact
1337970,"CatTuber","","","none"
1366800,"Crosshair X","","","none"
1374480,"爱人 Lover","","","none"
1424330,"Wobbledogs","摇摆狗狗","",exact
1454400,"Cookie Clicker","饼干点点乐","",exact
1466860,"Age of Empires IV: Anniversary Edition","","","none"
1480140,"RPG Sounds","","","none"
1486350,"VRoid Studio v2.7.0","","","none"
1491670,"Venba","","","none"
1545560,"Shadow Gambit: The Cursed Crew","影子诡局：被诅咒的海盗","",exact
1546570,"Sword and Fairy","","","none"
1569040,"Football Manager 2022","足球经理2022","",exact
1599340,"Lost Ark","命运方舟","",exact
1605010,"Adorable Witch","","","none"
1623730,"Palworld","幻兽帕鲁","パルワールド",exact
1625080,"Have a Nice Dream","","","none"
1637370,"Letters From a Rainy Day -Oceans and Lace-","","","none"
1650010,"RIDE 5","极速骑行5","",exact
1669980,"Volcano Princess","火山的女儿","",exact
1687950,"Persona 5 Royal","女神异闻录5 皇家版","",exact
1708150,"Juice Galaxy","","","none"
1775490,"Slice & Dice","","","none"
1787090,"MyDockFinder","","","none"
1794680,"Vampire Survivors","吸血鬼幸存者","",exact
1844610,"Reality Mixer - Mixed Reality for VR headsets","","","none"
1849570,"Love Stories: When Pastel Meets Grotesque","","","none"
1893620,"Circadian Dice","","","none"
1901340,"Ero Manager","","","none"
1904540,"Football Manager 2023","足球经理2023","",exact
1934680,"Age of Mythology: Retold","","","none"
1938090,"Call of Duty®","使命召唤","",exact
1943950,"Escape the Backrooms","逃离后室","",exact
1966720,"Lethal Company","致命公司","",exact
2073470,"Kanjozoku Game レーサー Online Street Racing & Drift","","","none"
2078450,"Warhammer 40,000: Speed Freeks","","","none"
2128270,"Path of Achra","","","none"
2142790,"Fields of Mistria","","","none"
2252570,"Football Manager 2024","足球经理2024","",exact
2358720,"Black Myth: Wukong","","","none"
2386460,"Tree It","","","none"
2395210,"Tony Hawk's™ Pro Skater™ 1 + 2","托尼·霍克职业滑板1+2","",exact
2427700,"Backpack Battles","背包乱斗：福西法的宝藏","",exact
2536840,"GINKA","","","none"
2593370,"The Hungry Lamb: Traveling in the Late Ming Dynasty","","","none"
2660460,"Aviassembly","","","none"
2670630,"Supermarket Simulator","","","none"
2707900,"NIGHT-RUNNERS™ PROLOGUE","","","none"
2784470,"9 Kings","","","none"
2881650,"Content Warning","内容警告","",exact
3029820,"Ai Vpet","","","none"
3070070,"TCG Card Shop Simulator","","","none"
3164500,"Schedule I","","","none"
3241660,"R.E.P.O.","","","none"
3449850,"Desktop Kitten Girl","","","none"
